Country;Category;DateTime;Value;Frequency;HistoricalDataSymbol;LastUpdate
United States;Tourism Revenues;1999-01-31T00:00:00;8937;Monthly;UNITEDSTATOUREV;2017-03-31T11:24:00
United States;Tourism Revenues;1999-02-28T00:00:00;8976;Monthly;UNITEDSTATOUREV;2017-03-31T11:24:00
United States;Tourism Revenues;1999-03-31T00:00:00;9212;Monthly;UNITEDSTATOUREV;2017-03-31T11:24:00
United States;Tourism Revenues;1999-04-30T00:00:00;8948;Monthly;UNITEDSTATOUREV;2017-03-31T11:24:00
United States;Tourism Revenues;1999-05-31T00:00:00;9102;Monthly;UNITEDSTATOUREV;2017-03-31T11:24:00
United States;Tourism Revenues;1999-06-30T00:00:00;9209;Monthly;UNITEDSTATOUREV;2017-03-31T11:24:00
United States;Tourism Revenues;1999-07-31T00:00:00;9531;Monthly;UNITEDSTATOUREV;2017-03-31T11:24:00
United States;Tourism Revenues;1999-08-31T00:00:00;9545;Monthly;UNITEDSTATOUREV;2017-03-31T11:24:00
United States;Tourism Revenues;1999-09-30T00:00:00;9759;Monthly;UNITEDSTATOUREV;2017-03-31T11:24:00
United States;Tourism Revenues;1999-10-31T00:00:00;9690;Monthly;UNITEDSTATOUREV;2017-03-31T11:24:00
United States;Tourism Revenues;1999-11-30T00:00:00;9916;Monthly;UNITEDSTATOUREV;2017-03-31T11:24:00
United States;Tourism Revenues;1999-12-31T00:00:00;8936;Monthly;UNITEDSTATOUREV;2017-03-31T11:24:00
United States;Tourism Revenues;2000-01-31T00:00:00;9546;Monthly;UNITEDSTATOUREV;2017-03-31T11:24:00
United States;Tourism Revenues;2000-02-29T00:00:00;9958;Monthly;UNITEDSTATOUREV;2017-03-31T11:24:00
United States;Tourism Revenues;2000-03-31T00:00:00;9844;Monthly;UNITEDSTATOUREV;2017-03-31T11:24:00
United States;Tourism Revenues;2000-04-30T00:00:00;10502;Monthly;UNITEDSTATOUREV;2017-03-31T11:24:00
United States;Tourism Revenues;2000-05-31T00:00:00;9968;Monthly;UNITEDSTATOUREV;2017-03-31T11:24:00
United States;Tourism Revenues;2000-06-30T00:00:00;10157;Monthly;UNITEDSTATOUREV;2017-03-31T11:24:00
United States;Tourism Revenues;2000-07-31T00:00:00;10118;Monthly;UNITEDSTATOUREV;2017-03-31T11:24:00
United States;Tourism Revenues;2000-08-31T00:00:00;10017;Monthly;UNITEDSTATOUREV;2017-03-31T11:24:00
United States;Tourism Revenues;2000-09-30T00:00:00;10171;Monthly;UNITEDSTATOUREV;2017-03-31T11:24:00
United States;Tourism Revenues;2000-10-31T00:00:00;9905;Monthly;UNITEDSTATOUREV;2017-03-31T11:24:00
United States;Tourism Revenues;2000-11-30T00:00:00;10135;Monthly;UNITEDSTATOUREV;2017-03-31T11:24:00
United States;Tourism Revenues;2000-12-31T00:00:00;10064;Monthly;UNITEDSTATOUREV;2017-03-31T11:24:00
United States;Tourism Revenues;2001-01-31T00:00:00;10035;Monthly;UNITEDSTATOUREV;2017-03-31T11:24:00
United States;Tourism Revenues;2001-02-28T00:00:00;9691;Monthly;UNITEDSTATOUREV;2017-03-31T11:24:00
United States;Tourism Revenues;2001-03-31T00:00:00;9721;Monthly;UNITEDSTATOUREV;2017-03-31T11:24:00
United States;Tourism Revenues;2001-04-30T00:00:00;9308;Monthly;UNITEDSTATOUREV;2017-03-31T11:24:00
United States;Tourism Revenues;2001-05-31T00:00:00;9157;Monthly;UNITEDSTATOUREV;2017-03-31T11:24:00
United States;Tourism Revenues;2001-06-30T00:00:00;9304;Monthly;UNITEDSTATOUREV;2017-03-31T11:24:00
United States;Tourism Revenues;2001-07-31T00:00:00;9386;Monthly;UNITEDSTATOUREV;2017-03-31T11:24:00
United States;Tourism Revenues;2001-08-31T00:00:00;9660;Monthly;UNITEDSTATOUREV;2017-03-31T11:24:00
United States;Tourism Revenues;2001-09-30T00:00:00;6918;Monthly;UNITEDSTATOUREV;2017-03-31T11:24:00
United States;Tourism Revenues;2001-10-31T00:00:00;6496;Monthly;UNITEDSTATOUREV;2017-03-31T11:24:00
United States;Tourism Revenues;2001-11-30T00:00:00;6891;Monthly;UNITEDSTATOUREV;2017-03-31T11:24:00
United States;Tourism Revenues;2001-12-31T00:00:00;7346;Monthly;UNITEDSTATOUREV;2017-03-31T11:24:00
United States;Tourism Revenues;2002-01-31T00:00:00;7909;Monthly;UNITEDSTATOUREV;2017-03-31T11:24:00
United States;Tourism Revenues;2002-02-28T00:00:00;8127;Monthly;UNITEDSTATOUREV;2017-03-31T11:24:00
United States;Tourism Revenues;2002-03-31T00:00:00;8319;Monthly;UNITEDSTATOUREV;2017-03-31T11:24:00
United States;Tourism Revenues;2002-04-30T00:00:00;8092;Monthly;UNITEDSTATOUREV;2017-03-31T11:24:00
United States;Tourism Revenues;2002-05-31T00:00:00;8294;Monthly;UNITEDSTATOUREV;2017-03-31T11:24:00
United States;Tourism Revenues;2002-06-30T00:00:00;8304;Monthly;UNITEDSTATOUREV;2017-03-31T11:24:00
United States;Tourism Revenues;2002-07-31T00:00:00;8036;Monthly;UNITEDSTATOUREV;2017-03-31T11:24:00
United States;Tourism Revenues;2002-08-31T00:00:00;8329;Monthly;UNITEDSTATOUREV;2017-03-31T11:24:00
United States;Tourism Revenues;2002-09-30T00:00:00;8085;Monthly;UNITEDSTATOUREV;2017-03-31T11:24:00
United States;Tourism Revenues;2002-10-31T00:00:00;8154;Monthly;UNITEDSTATOUREV;2017-03-31T11:24:00
United States;Tourism Revenues;2002-11-30T00:00:00;8212;Monthly;UNITEDSTATOUREV;2017-03-31T11:24:00
United States;Tourism Revenues;2002-12-31T00:00:00;8297;Monthly;UNITEDSTATOUREV;2017-03-31T11:24:00
United States;Tourism Revenues;2003-01-31T00:00:00;7863;Monthly;UNITEDSTATOUREV;2017-03-31T11:24:00
